"OSM_ID_MUNICIPIO";"COD_PAIS";"OSM_NOM_MUNICIPIO"
242768;"BR";"Barão do Triunfo"
242769;"BR";"Mormaço"
242770;"BR";"Barão de Cotegipe"
242771;"BR";"Ubiretama"
242772;"BR";"São Nicolau"
242773;"BR";"Novo Machado"
242774;"BR";"Vicente Dutra"
242775;"BR";"Jari"
242776;"BR";"Santana da Boa Vista"
242777;"BR";"Novo Cabrais"
242778;"BR";"Esteio"
242779;"BR";"Campinas do Sul"
242780;"BR";"Paverama"
242781;"BR";"Unistalda"
242782;"BR";"Taquaruçu do Sul"
242783;"BR";"Ivoti"
242784;"BR";"Coronel Barros"
242785;"BR";"Cacequi"
252792;"CL";"Vichuquén"
252813;"CL";"Paredones"
252814;"CL";"Hualañé"
252815;"CL";"Rauco"
252816;"CL";"Chépica"
252817;"CL";"Lolol"
252836;"CL";"Curepto"
252837;"CL";"Licantén"
255295;"CL";"Coihueco"
255296;"CL";"San Fabián"
255306;"CL";"Parral"
255307;"CL";"Colbún"
255308;"CL";"Longaví"
255309;"CL";"Linares"
255333;"CL";"Retiro"
255335;"CL";"Ñiquén"
255339;"CL";"San Carlos"
255340;"CL";"Chillán"
255374;"CL";"Cauquenes"
269309;"CL";"Pinto"
269388;"CL";"San Ignacio"
269390;"CL";"Chillán Viejo"
269826;"CL";"Arica"
278708;"EC";"Parroquia Manglaralto"
278716;"EC";"Parroquia Colonche"
278738;"EC";"Chanduy"
279102;"EC";"Salinas"
279136;"EC";"Parroquia José Luis Tamayo"
279158;"EC";"Parroquia Anconcito"
279174;"EC";"Parroquia La Libertad"
279550;"EC";"Santa Elena"
279587;"EC";"Atahualpa"
280279;"EC";"Parroquia Simón Bolívar"
280722;"EC";"Parroquia Pedro Pablo Gómez"
281084;"EC";"Parroquia Puerto López"
281085;"EC";"Parroquia Salango"
281236;"EC";"Parroquia Machalilla"
281748;"EC";"Parroquia Pedro Carbo"
281815;"EC";"Membrillal"
281816;"EC";"Parroquia Julcuy"
281842;"EC";"Puerto de Cayo"
281845;"EC";"Jipijapa"
282067;"EC";"Jaramijó"
282068;"EC";"San Lorenzo"
282069;"EC";"La Pila"
282072;"EC";"Santa Marianita"
282077;"EC";"Charapotó"
282078;"EC";"Portoviejo"
282079;"EC";"Crucita"
282080;"EC";"Parroquia Rocafuerte"
282081;"EC";"Abdón Calderón"
282082;"EC";"Parroquia Santa Ana de Vuelta Larga"
282084;"EC";"Parroquia Tosagua"
282085;"EC";"Parroquia Pueblo Nuevo"
282086;"EC";"Parroquia Río Chico"
282087;"EC";"Alhajuela"
282091;"EC";"Parroquia Bellavista"
282092;"EC";"Parroquia Sucre"
282093;"EC";"Parroquia América"
282219;"EC";"San Antonio"
282225;"EC";"Parroquia Canuto"
282226;"EC";"San José de Bachillero"
282246;"EC";"Parroquia Pichincha"
282247;"EC";"Parroquia Quiroga"
282248;"EC";"Parroquia Angel Pedro Giler"
282250;"EC";"Parroquia Chirijos"
282254;"EC";"Parroquia La Unión"
282260;"EC";"Parroquia Noboa"
282261;"EC";"Parroquia La Union"
282269;"EC";"Parroquia El Anegado"
282270;"EC";"Parroquia Paján"
282275;"EC";"Parroquia Campozano"
282276;"EC";"Parroquia Cascol"
282301;"EC";"Parroquia Colimes"
282331;"EC";"Parroquia Isidro Ayora"
282428;"EC";"Daule"
282446;"EC";"Parroquia Junquillal"
282563;"EC";"Parroquia Narcisa de Jesús"
282575;"EC";"Los Lojas"
282592;"EC";"El Salitre"
282601;"EC";"Parroquia Limonal"
282610;"EC";"Parroquia Palestina"
282625;"EC";"Parroquia Valle de la Virgen"
282626;"EC";"Parroquia Guale"
282627;"EC";"Parroquia Lascano"
283267;"EC";"Balzar"
283432;"EC";"Sabanilla"
284878;"EC";"Puná"
285902;"EC";"San Vicente"
285927;"EC";"Canoa"
285942;"EC";"Parroquia Eloy Alfaro"
285955;"EC";"Boyacá"
286410;"EC";"Parroquia Ricaurte"
286436;"EC";"Parroquia Convento"
286671;"EC";"Parroquia Zapallo"
286694;"EC";"Parroquia Flavio Alfaro"
286717;"EC";"El Carmen"
286727;"EC";"Parroquia San Pedro de Suma"
286735;"EC";"Parroquia Wilfrido Loor Moreira"
286749;"EC";"Parroquia San Francisco de Novillo"
286800;"EC";"Montecristi"
286831;"EC";"Bahía de Caráquez"
287478;"EC";"Parroquia San Jacinto de Búa"
