codigo_ibge_municipio,_c1,_c2,_c3
4118402,01.04.430.0250,1089 - HAKUO ONAKA,SN
4118402,02.04.015.0021,95250 - PRC 158-0055,S/N
4118402,02.04.015.0041,95250 - PRC 158-0055,1702
4118402,01.06.137.0088,704 - JUVENAL SENNA DE ARAUJO,S/N
4118402,01.02.176.0037,209 - HUMBERTO BRUNING,4531
4118402,01.06.137.0318,703 - LUCIO VENDRAMIN,S/N
4118402,01.06.137.0032,704 - JUVENAL SENNA DE ARAUJO,S/N
4118402,01.06.137.0038,704 - JUVENAL SENNA DE ARAUJO,S/N
4118402,01.06.137.0312,703 - LUCIO VENDRAMIN,S/N
4118402,01.06.137.0306,703 - LUCIO VENDRAMIN,S/N
4118402,01.06.137.0361,703 - LUCIO VENDRAMIN,S/N
4118402,01.06.137.0300,703 - LUCIO VENDRAMIN,S/N
4118402,01.06.137.0069,704 - JUVENAL SENNA DE ARAUJO,581
4118402,01.06.137.0276,703 - LUCIO VENDRAMIN,S/N
4118402,01.06.137.0075,704 - JUVENAL SENNA DE ARAUJO,S/N
4118402,01.06.137.0237,703 - LUCIO VENDRAMIN,S/N
4118402,01.06.137.0224,703 - LUCIO VENDRAMIN,S/N
4118402,01.02.176.0412,209 - HUMBERTO BRUNING,SN
4118402,01.02.176.0364,209 - HUMBERTO BRUNING,4597
4118402,01.02.176.0310,216 - PARAGUACU,SN
4118402,01.02.176.0298,216 - PARAGUACU,427
4118402,01.02.176.0298,216 - PARAGUACU,425
4118402,01.02.176.0068,217 - PIONEIRO SERGIO RODRIGUES DE CARVALHO,SN
4118402,01.03.200.0200,174 - PAULO ANTONIO DA COSTA,832
4118402,01.03.443.0273,620 - PRIMO DANBROS,581
4118402,01.02.181.0015,217 - PIONEIRO SERGIO RODRIGUES DE CARVALHO,218
4118402,01.02.181.0460,208 - LEONIDAS DE BARROS,247
4118402,01.02.181.0030,217 - PIONEIRO SERGIO RODRIGUES DE CARVALHO,222
4118402,01.02.181.0450,208 - LEONIDAS DE BARROS,253
4118402,01.06.147.0140,703 - LUCIO VENDRAMIN,S/N
4118402,01.06.147.0154,703 - LUCIO VENDRAMIN,S/N
4118402,01.06.147.0167,703 - LUCIO VENDRAMIN,S/N
4118402,01.06.081.0262,280 - PIONEIRO OSVALDO RASMUSSEN,203
4118402,01.01.009.0355,84 - SANTA CATARINA,2455
4118402,04.01.002.0150,510 - GUARANIA,S/N
4118402,01.03.450.0366,194 - PIONEIRO TONHAO,S/N
4118402,02.01.001.0356,488 - JOAO CLIMACO PEREIRA,1257
4118402,01.04.143.0060,9 - TAPEJARA,654
4118402,01.04.143.0054,9 - TAPEJARA,648
4118402,01.04.143.0025,9 - TAPEJARA,624
4118402,01.04.143.0030,9 - TAPEJARA,630
4118402,01.04.143.0020,9 - TAPEJARA,618
4118402,01.04.143.0045,9 - TAPEJARA,642
4118402,01.04.143.0039,9 - TAPEJARA,636
4118402,01.04.143.0315,48 - PIONEIRO SIMIAO,1113
4118402,01.04.143.0322,48 - PIONEIRO SIMIAO,1107
4118402,01.04.143.0295,48 - PIONEIRO SIMIAO,1127
4118402,01.04.143.0308,48 - PIONEIRO SIMIAO,1119
4118402,01.04.143.0270,10 - ERNESTO BIAZUS,667
4118402,01.04.143.0266,10 - ERNESTO BIAZUS,669
4118402,01.04.143.0275,10 - ERNESTO BIAZUS,661
4118402,01.04.143.0236,10 - ERNESTO BIAZUS,695
4118402,01.04.143.0260,10 - ERNESTO BIAZUS,677
4118402,01.04.143.0257,10 - ERNESTO BIAZUS,681
4118402,01.04.143.0251,10 - ERNESTO BIAZUS,685
4118402,01.04.143.0245,10 - ERNESTO BIAZUS,689
4118402,01.04.143.0337,48 - PIONEIRO SIMIAO,664
4118402,01.04.143.0152,47 - PIO XII,1026
