,id_quadra_logradouro,id_quadra,cd_logradouro,nm_logradouro
9335,01.01.086_ANTONIO FELIPPE,01.01.086,92,ANTONIO FELIPPE
112,01.01.086_Getúlio Vargas,01.01.086,1,Getúlio Vargas
9857,01.01.086_MARECHAL CANDIDO RONDON,01.01.086,115,MARECHAL CANDIDO RONDON
679,01.01.087_ANTONIO FELIPPE,01.01.087,92,ANTONIO FELIPPE
19269,01.01.087_GUAPORE,01.01.087,117,GUAPORE
1240,01.01.087_Getúlio Vargas,01.01.087,1,Getúlio Vargas
2992,01.01.088_ANTONIO FELIPPE,01.01.088,92,ANTONIO FELIPPE
4330,01.01.088_GUAPORE,01.01.088,117,GUAPORE
9350,01.01.088_Getúlio Vargas,01.01.088,1,Getúlio Vargas
9348,01.01.088_LUIZ SPIGOLON,01.01.088,118,LUIZ SPIGOLON
23643,01.01.089_GUAPORE,01.01.089,117,GUAPORE
19302,01.01.089_Getúlio Vargas,01.01.089,1,Getúlio Vargas
14607,01.01.089_LUIZ SPIGOLON,01.01.089,118,LUIZ SPIGOLON
3616,01.01.089_MANOEL RIBAS,01.01.089,94,MANOEL RIBAS
10567,01.01.090_AMAPA,01.01.090,116,AMAPA
1175,01.01.090_GUAPORE,01.01.090,117,GUAPORE
11476,01.01.090_Getúlio Vargas,01.01.090,1,Getúlio Vargas
1176,01.01.090_MANOEL RIBAS,01.01.090,94,MANOEL RIBAS
3029,01.01.091_AMAPA,01.01.091,116,AMAPA
3015,01.01.091_Getúlio Vargas,01.01.091,1,Getúlio Vargas
3619,01.01.091_PARANA,01.01.091,98,PARANA
11177,01.01.092_MANOEL RIBAS,01.01.092,94,MANOEL RIBAS
10946,01.01.092_MARECHAL CANDIDO RONDON,01.01.092,115,MARECHAL CANDIDO RONDON
4428,01.01.092_PARANA,01.01.092,98,PARANA
9842,01.01.093_Getúlio Vargas,01.01.093,1,Getúlio Vargas
2998,01.01.093_MANOEL RIBAS,01.01.093,94,MANOEL RIBAS
10400,01.01.093_MARECHAL CANDIDO RONDON,01.01.093,115,MARECHAL CANDIDO RONDON
3007,01.01.093_SOUZA NAVES,01.01.093,114,SOUZA NAVES
9862,01.01.094_Getúlio Vargas,01.01.094,1,Getúlio Vargas
13272,01.01.094_MANOEL RIBAS,01.01.094,94,MANOEL RIBAS
9211,01.01.094_MINAS GERAIS,01.01.094,111,MINAS GERAIS
3005,01.01.094_SOUZA NAVES,01.01.094,114,SOUZA NAVES
10366,01.01.095_Getúlio Vargas,01.01.095,1,Getúlio Vargas
13340,01.01.095_MANOEL RIBAS,01.01.095,94,MANOEL RIBAS
19289,01.01.095_MINAS GERAIS,01.01.095,111,MINAS GERAIS
653,01.01.095_PARAIBA,01.01.095,109,PARAIBA
3028,01.01.096_Getúlio Vargas,01.01.096,1,Getúlio Vargas
10347,01.01.096_MANOEL RIBAS,01.01.096,94,MANOEL RIBAS
40421,01.01.096_PARA,01.01.096,108,PARA
49658,01.01.096_PARAIBA,01.01.096,109,PARAIBA
13338,01.01.097_DISTRITO FEDERAL,01.01.097,75,DISTRITO FEDERAL
3051,01.01.097_MANOEL RIBAS,01.01.097,94,MANOEL RIBAS
19296,01.01.097_PARA,01.01.097,108,PARA
3072,01.01.098_DISTRITO FEDERAL,01.01.098,75,DISTRITO FEDERAL
3074,01.01.098_DR SYLVIO VIDAL COELHO LEITE RIBEIRO,01.01.098,107,DR SYLVIO VIDAL COELHO LEITE RIBEIRO
2997,01.01.098_Getúlio Vargas,01.01.098,1,Getúlio Vargas
19281,01.01.099_DR SYLVIO VIDAL COELHO LEITE RIBEIRO,01.01.099,107,DR SYLVIO VIDAL COELHO LEITE RIBEIRO
9871,01.01.099_ETTORE GIOVINE,01.01.099,106,ETTORE GIOVINE
3067,01.01.099_Getúlio Vargas,01.01.099,1,Getúlio Vargas
9873,01.01.099_MANOEL RIBAS,01.01.099,94,MANOEL RIBAS
21622,01.01.100_AMAZONAS,01.01.100,105,AMAZONAS
19286,01.01.100_ETTORE GIOVINE,01.01.100,106,ETTORE GIOVINE
9898,01.01.100_Getúlio Vargas,01.01.100,1,Getúlio Vargas
2993,01.01.100_MANOEL RIBAS,01.01.100,94,MANOEL RIBAS
12726,01.01.101_AMAZONAS,01.01.101,105,AMAZONAS
3639,01.01.101_ETTORE GIOVINE,01.01.101,106,ETTORE GIOVINE
202,01.01.101_MANOEL RIBAS,01.01.101,94,MANOEL RIBAS
2741,01.01.101_PERNAMBUCO,01.01.101,95,PERNAMBUCO
3633,01.01.102_DISTRITO FEDERAL,01.01.102,75,DISTRITO FEDERAL
12727,01.01.102_ETTORE GIOVINE,01.01.102,106,ETTORE GIOVINE
3010,01.01.102_MANOEL RIBAS,01.01.102,94,MANOEL RIBAS
9791,01.01.103_DISTRITO FEDERAL,01.01.103,75,DISTRITO FEDERAL
2628,01.01.103_DR SYLVIO VIDAL COELHO LEITE RIBEIRO,01.01.103,107,DR SYLVIO VIDAL COELHO LEITE RIBEIRO
3650,01.01.103_PERNAMBUCO,01.01.103,95,PERNAMBUCO
29201,01.01.104_DR SYLVIO VIDAL COELHO LEITE RIBEIRO,01.01.104,107,DR SYLVIO VIDAL COELHO LEITE RIBEIRO
3068,01.01.104_MANOEL RIBAS,01.01.104,94,MANOEL RIBAS
3392,01.01.104_PARA,01.01.104,108,PARA
3371,01.01.104_PERNAMBUCO,01.01.104,95,PERNAMBUCO
3531,01.01.105_MANOEL RIBAS,01.01.105,94,MANOEL RIBAS
3787,01.01.105_PARA,01.01.105,108,PARA
3530,01.01.105_PARAIBA,01.01.105,109,PARAIBA
