quadras.id,quadras.codigo_ibge_municipio,quadras.codigo_cartografico,quadras.geometria
428813,4104501,02.06.005.11.0006,"POLYGON((-53.87560534179628 -25.614130999509722, -53.87623028486612 -25.61374500441816, -53.87673192433795 -25.614412645645505, -53.87610697985265 -25.614798643015522, -53.87560534179628 -25.614130999509722))"
428999,4104501,01.02.004.0.0052,"POLYGON((-53.81257053595388 -25.669570181081497, -53.812992813979434 -25.669464760643983, -53.813283635659914 -25.670421474920257, -53.81286135468541 -25.670526896450127, -53.81257053595388 -25.669570181081497))"
429068,4104501,01.04.002.3.0068,"POLYGON((-53.797158832794715 -25.682618038499903, -53.79766756168917 -25.682491102678682, -53.79803760102465 -25.683708785539345, -53.797528867603816 -25.683835723033297, -53.797158832794715 -25.682618038499903))"
428751,4104501,01.02.003.0.0002,"POLYGON((-53.81024704331574 -25.671465924451127, -53.81139873387745 -25.671178427868323, -53.8116631107639 -25.672048171531365, -53.81051141288957 -25.672335670822104, -53.81024704331574 -25.671465924451127))"
429086,4104501,01.04.002.3.0126,"POLYGON((-53.79718934850131 -25.686785776240484, -53.79775856983382 -25.686643750927082, -53.79787355103643 -25.687022102020887, -53.797304327425174 -25.687164129148396, -53.79718934850131 -25.686785776240484))"
428814,4104501,01.04.001.2.0088,"POLYGON((-53.803902639223985 -25.667420115387348, -53.80493500964375 -25.667461882226295, -53.80398721880027 -25.667698439616, -53.80313114004656 -25.667612667148468, -53.803902639223985 -25.667420115387348))"
428815,4104501,01.04.001.1.0118,"POLYGON((-53.79998396670258 -25.652973122054465, -53.80025015773901 -25.65327161993534, -53.80035849770134 -25.653628228139002, -53.80008702069335 -25.65331233502431, -53.79998396670258 -25.652973122054465))"
428816,4104501,01.05.004.0.0020,"POLYGON((-53.808933811937756 -25.65831232796599, -53.809120292772405 -25.658925947280423, -53.809278886999245 -25.659447799027287, -53.80855760390384 -25.659627854416126, -53.808933811937756 -25.65831232796599))"
428817,4104501,01.04.002.12.0417,"POLYGON((-53.77862013337944 -25.68960727053296, -53.778759306576745 -25.689474132016436, -53.778903882638176 -25.689598208174015, -53.77915689146434 -25.689815341040095, -53.77862013337944 -25.68960727053296))"
428818,4104501,01.04.002.4.0082,"POLYGON((-53.804276947127505 -25.684285864970782, -53.80477015005745 -25.682573359235672, -53.80529758555461 -25.684308607472836, -53.803948369563514 -25.68607945352154, -53.804276947127505 -25.684285864970782))"
428819,4104501,01.04.002.12.0418,"POLYGON((-53.77799251934516 -25.68930583408473, -53.778325792895025 -25.689102085074225, -53.77852437111393 -25.689272507897357, -53.77865087472669 -25.689381074786578, -53.77799251934516 -25.68930583408473))"
428820,4104501,01.03.003.4.0112,"POLYGON((-53.8130221838788 -25.675836545419926, -53.8134875241786 -25.675888810929603, -53.81375026649129 -25.676248982552206, -53.81310613107748 -25.676112687451774, -53.8130221838788 -25.675836545419926))"
428821,4104501,01.01.001.0.0028,"POLYGON((-53.808448270647276 -25.6706064316533, -53.80860846881787 -25.671133500852857, -53.808078479418896 -25.67173927537463, -53.808230808194665 -25.671227769665478, -53.808448270647276 -25.6706064316533))"
428822,4104501,01.04.002.3.0115,"POLYGON((-53.79115877482456 -25.68776861737998, -53.79223124569978 -25.687501097253193, -53.79188472080846 -25.688120919326206, -53.7913101837714 -25.68826424570276, -53.79115877482456 -25.68776861737998))"
428823,4104501,01.04.001.2.074C,"POLYGON((-53.80252599874372 -25.66485855788525, -53.802860840932404 -25.665359518101077, -53.802386957289215 -25.66547778882488, -53.80211583876509 -25.665235460984565, -53.80252599874372 -25.66485855788525))"
428824,4104501,01.03.002.4.0050,"POLYGON((-53.806768967670166 -25.67898166110614, -53.808016720662145 -25.678670228849345, -53.80830753343557 -25.67962695345862, -53.80705977172481 -25.67993838894206, -53.806768967670166 -25.67898166110614))"
428912,4104501,01.05.004.0.0067,"POLYGON((-53.81227422174577 -25.66736163169712, -53.81321346454766 -25.666986788438965, -53.812498937514455 -25.668100913004128, -53.81240244152669 -25.66778345699247, -53.81227422174577 -25.66736163169712))"
